Plant_ID,Leaf_Vibration_Hz,Pollen_Scent_Complexity,Bioluminescence_Intensity_Lux,Root_Signal_Strength_mV,Growth_Rate_mm_day,Ambient_Temperature_C,Soil_Moisture_Level,Sunlight_Exposure_Hours,Symbiotic_Fungus_Present,Plant_Message_Type,Soil_Nutrient_Level,Temperature_Stress_Factor,Photosynthetic_Efficiency_Index
PLANT_0001,57.559708933416125,7.0,3.1480291357108365,117.27937459621349,2.223979814129885,25.588876398949253,0.27235895220642237,9.452273245888673,0,Distress,0.41069732954408517,Low,0.071372532058601
PLANT_0002,48.537551408887865,1.0,,206.91796311766225,4.460296391206797,15.483440118293489,0.2823647879798793,9.885536529894297,0,Warning,0.59727294734492,Medium,0.059474321882868546
PLANT_0003,59.84271782050015,8.0,3.4911050701462583,192.45085716449455,5.104733321695735,34.21469016224684,0.4055078641567198,8.948503900453069,0,Invitation,0.3460849227087886,Medium,0.07870469653974377
PLANT_0004,73.48658409167744,3.0,5.502652012143349,150.46525393463023,1.5894190070595342,23.538618177349946,0.35675485162701964,5.861286057856727,1,Distress,0.22068743680705735,Low,0.058767460219270526
PLANT_0005,46.61753596387495,6.0,58.44292614649182,134.88981573898425,4.9044860048776595,24.21583539617819,0.8196049492828267,5.231087046718239,1,Contentment,0.5747479719834904,Low,0.2752759665834879
PLANT_0006,46.73035880218012,9.0,16.917061668732085,225.15558519851365,6.488036169750847,33.096078533891095,0.4073774031120394,4.3856185858322485,1,Contentment,0.6510584503550447,Medium,0.05082389034105016
PLANT_0007,73.80369046410345,6.0,27.44258137311528,228.84591396018754,4.314200319168149,30.658280246360917,0.25121839091795445,9.134569255651382,0,Warning,0.18286136571927666,Medium,0.021809045536642205
PLANT_0008,62.140439491943916,9.0,16.150765575060678,263.79744883814345,4.919914053164267,26.014278956210156,0.2606866840161522,7.912142262712092,1,Invitation,0.7732105056387221,Low,0.1753674607892254
PLANT_0009,43.13483889248774,7.0,15.77827740233983,174.3164280110291,6.184896459422029,25.870540597509525,0.44877413537524175,7.918803085279033,1,Warning,0.43669045305987764,Low,0.1783372668523912
PLANT_0010,58.027099992736886,9.0,,193.1447059022938,4.248316766425511,26.659734868997234,0.14053590665608653,5.5300232647951875,1,Contentment,1.0,Low,0.08949107786694405
PLANT_0011,42.81117246874046,2.0,8.077976553586677,129.67730744494952,4.3141898392051266,20.732127749759595,0.4888191286489088,2.490541312056157,0,Contentment,0.534945688659624,Low,0.01
PLANT_0012,42.8728048086661,8.0,5.981267825479821,277.9227689983054,2.6618701159381453,23.27762535712136,0.24074249248613874,2.88588939111755,0,Contentment,0.7291742480941997,Low,0.01
PLANT_0013,53.849332386434405,8.0,10.07576853882719,202.84694156340106,4.958021475101878,24.85392221621409,0.7276402157721941,6.11262311048853,1,Contentment,0.6021917458827175,Low,0.34610755149096756
PLANT_0014,21.375367351465247,2.0,31.766624387994234,234.2709349509466,4.310624508238865,21.386288224124907,0.5134933506993977,5.046389884827832,1,Invitation,0.4787562047466756,Low,0.12959164667565456
PLANT_0015,23.6543897207676,4.0,10.08316480289461,235.49741029376148,6.003347834266517,17.235390795349232,0.9236792228365068,4.741489074836531,0,Contentment,0.5577668788213862,Medium,0.14535196406310505
PLANT_0016,41.21582671771853,7.0,11.413961864491649,272.1360129445063,6.1624298298303986,20.647205229863882,0.44756511898774237,6.7363237759734815,1,Invitation,0.9865721067325887,Low,0.38775818232256526
PLANT_0017,34.873867383179444,4.0,10.244622421395317,159.44165571174014,6.502588681644659,17.02493904588825,0.01,8.035496057440897,0,Invitation,0.48685224438003694,Medium,0.01084287873089122
PLANT_0018,54.32436236183758,4.0,2.085892994621919,234.1667096375739,4.024890264672583,22.380694204322836,0.7843732762675512,4.606197140931464,1,Contentment,0.7181486461121407,Low,0.22861245713508915
PLANT_0019,36.357036767149935,6.0,11.84380594151107,197.8627944509312,0.6745240943472148,13.208195567491318,0.5942256785523669,3.4505732183169764,1,Contentment,0.9169802974116273,Medium,0.018239192068999738
PLANT_0020,28.77264376223446,10.0,4.505825433214752,303.1778960777356,,23.62241596382879,0.6360836951309837,4.589764092616743,0,Contentment,0.8931314996434395,Low,0.22216017783096567
